,price,ID,vehicle_type,year,transmission,horsepower,km,fuel_type,brand
<<<<<<< HEAD
0,19900,8075510964,large_family_car,2018,automatic,190,78453,diesel,Mercedes-Benz
1,9150,8073871562,suv,2015,automatic,218,103322,diesel,BMW
2,24990,8072810762,sports_tourism_van,2008,manual,110,190000,diesel,MINI
3,16499,8074632564,sports_tourism_van,2018,manual,95,39854,diesel,Fiat
4,22990,8073285820,small_car,2012,manual,105,53500,diesel,Fiat
5,15500,8074283033,coupé,2016,manual,71,55677,gas,Smart
6,2800,8071826402,sports_tourism_van,2016,automatic,120,79000,diesel,Peugeot
7,26749,8061646888,sports_tourism_van,2017,manual,120,28588,diesel,Peugeot
8,10500,8072916270,small_car,2015,manual,115,111200,diesel,Volvo
9,9500,8074401414,small_car,2015,manual,90,82956,diesel,VW
10,34900,8065875119,sports_tourism_van,2015,manual,110,88500,diesel,VW
11,24350,8073025112,sports_tourism_van,2008,manual,105,204415,diesel,VW
12,31749,8072193638,small_car,2018,manual,69,33895,gas,Fiat
13,18000,8003338330,suv,2018,manual,95,50000,diesel,Fiat
14,5500,8074051212,sports_tourism_van,2016,manual,116,117501,diesel,MINI
15,31000,8073763710,suv,2015,manual,150,89239,diesel,VW
16,25999,8074845730,small_car,2015,manual,115,37000,diesel,BMW
17,2800,8070349088,cabrio,2018,manual,69,14332,gas,Fiat
18,6950,8000578294,coupé,2013,automatic,170,109673,diesel,Mercedes-Benz
19,8500,8075486974,large_family_car,2018,automatic,190,24510,diesel,Volvo
20,11200,8073697874,small_car,2015,manual,110,103777,diesel,Renault
21,5900,8074402523,small_car,2016,manual,75,39560,diesel,VW
22,9150,8073619507,sports_tourism_van,2017,manual,110,25829,diesel,Renault
23,19900,8052272344,suv,2016,automatic,231,49575,diesel,BMW
24,18000,8074401565,small_car,2015,manual,90,84029,diesel,Toyota
25,7000,8071221709,small_car,2018,manual,69,49622,gas,Fiat
26,27490,8072521305,sports_tourism_van,2018,automatic,190,32750,diesel,Volvo
27,28999,8069721408,sports_tourism_van,2017,automatic,190,51037,diesel,Volvo
28,6950,8075178036,small_car,2014,manual,115,119750,diesel,Volvo
29,35999,8074189034,small_car,2015,manual,75,100674,diesel,VW
30,27490,8029703271,small_car,2013,manual,95,68171,diesel,Fiat
31,12990,8074866447,large_family_car,2008,manual,120,198000,diesel,Alfa Romeo
32,22990,8067586295,sports_tourism_van,2011,automatic,177,132000,diesel,Audi
33,9875,8066561671,suv,2014,manual,109,103482,diesel,Nissan
34,8500,8064223563,suv,2013,manual,115,100650,diesel,Peugeot
35,10500,8023993446,suv,2018,manual,95,39000,diesel,Fiat
36,5500,8072375036,suv,2016,manual,110,57492,diesel,Nissan
37,13500,8075745751,suv,2014,automatic,170,85547,diesel,Mercedes-Benz
38,9875,8073448596,sports_tourism_van,2018,manual,100,113978,diesel,Peugeot
39,16499,8074633256,sports_tourism_van,2015,manual,120,140355,diesel,VW
40,31000,8067742595,sports_tourism_van,2016,automatic,194,117042,diesel,Mercedes-Benz
41,35999,8070045833,sports_tourism_van,2015,automatic,136,138000,diesel,Mercedes-Benz
42,34900,8071908642,sports_tourism_van,2016,manual,110,124708,diesel,SEAT
43,6950,8047959580,cabrio,2018,automatic,69,20000,gas,Fiat
44,22990,8058599803,small_car,2015,manual,115,78600,diesel,Citroën
45,7000,8072326365,sports_tourism_van,2015,manual,109,55022,diesel,Mercedes-Benz
46,14800,8064029427,sports_tourism_van,2015,manual,150,62596,diesel,VW
47,34900,8071802186,suv,2017,automatic,416,37865,hybrid,Porsche
48,12500,8036286396,small_car,2017,manual,75,33247,gas,Hyundai
49,24350,8040409968,cabrio,2019,manual,69,10000,gas,Fiat
50,2800,8065802089,sports_tourism_van,2017,manual,120,78000,diesel,Peugeot
51,25900,8071918118,sports_tourism_van,2017,manual,110,122935,diesel,SEAT
52,11200,8074529393,sports_tourism_van,2017,manual,90,25000,gas,Renault
53,13500,8073617781,suv,2017,manual,90,25534,gas,Renault
54,9500,8071207369,small_car,2019,manual,80,19518,gas,Mitsubishi
55,27490,8072647260,small_car,2018,automatic,90,14200,gas,Smart
56,24990,8068839744,suv,2019,manual,105,21833,gas,Mitsubishi
57,35999,8004168820,small_car,2019,manual,69,10000,gas,Fiat
58,13500,8070668883,suv,2015,manual,144,56321,diesel,Toyota
59,22990,8074524542,large_family_car,2018,manual,150,10996,diesel,Audi
60,8500,8069250956,small_car,2019,manual,69,9200,gas,Fiat
61,25900,8074499242,large_family_car,2015,manual,190,75659,diesel,Audi
62,18000,8073763607,sports_tourism_van,2015,automatic,190,40783,diesel,BMW
63,34900,8055734419,suv,2019,automatic,190,14442,diesel,BMW
64,11200,8026572390,suv,2017,manual,95,30000,diesel,Fiat
65,12500,8074607512,coupé,2004,automatic,170,300000,diesel,Mercedes-Benz
66,31749,8070343859,small_car,2015,manual,120,139643,diesel,Ford
67,25999,8073975023,suv,2017,manual,105,40125,diesel,Mazda
68,10500,8073430944,suv,2018,manual,95,40000,diesel,Fiat
69,12990,8073878400,suv,2018,automatic,130,31745,gas,Peugeot
70,26749,8074497331,small_car,2018,manual,102,22786,diesel,Citroën
71,8500,8073536066,small_car,2011,manual,95,87921,diesel,Fiat
72,9500,8064522191,sports_tourism_van,2006,manual,109,198789,diesel,Peugeot
73,31000,8075683301,large_family_car,2011,automatic,313,159791,diesel,BMW
74,9875,8075745332,sports_tourism_van,2016,automatic,218,60400,diesel,BMW
75,28999,8004169450,small_car,2018,manual,69,34000,gas,Fiat
76,14800,8040391309,suv,2018,manual,95,49000,diesel,Fiat
77,15500,8074190752,coupé,2018,automatic,190,44555,diesel,Audi
78,18000,8072060883,small_car,2016,manual,116,78132,diesel,BMW
79,9875,8069399606,small_car,2015,manual,110,69566,diesel,Audi
80,19900,8073801133,large_family_car,2015,automatic,190,91202,diesel,Audi
81,9150,8072643777,cabrio,2019,automatic,69,22303,gas,Fiat
82,19900,8043562444,small_car,2007,manual,130,80000,gas,MINI
83,9150,8075630365,suv,2017,automatic,110,83250,diesel,Renault
84,6950,8062780500,suv,2019,manual,115,17475,diesel,Renault
85,15500,8074489304,sports_tourism_van,2017,manual,110,106546,diesel,VW
86,7000,8074862114,small_car,2014,manual,128,116000,diesel,Kia
87,13500,8070562027,sports_tourism_van,2015,manual,110,145522,diesel,VW
88,5900,8070316563,small_car,2015,manual,75,57019,diesel,Peugeot
89,31749,8069227950,small_car,2015,manual,75,52635,diesel,VW
90,18000,8070215450,sports_tourism_van,2016,manual,120,58878,diesel,VW
91,24990,8011106265,suv,2017,manual,95,59000,diesel,Fiat
92,34900,8069407450,small_car,2015,manual,150,132152,diesel,VW
93,9500,8072158714,small_car,2014,manual,75,89992,diesel,VW
94,15500,8075606250,small_car,2007,manual,125,190000,diesel,Opel
95,9875,8072325960,suv,2019,automatic,392,4644,hybrid,Volvo
96,28999,8074283919,sports_tourism_van,2015,automatic,190,106197,diesel,VW
97,18000,8073274518,sports_tourism_van,2015,automatic,120,65245,diesel,VW
98,19900,8074283219,sports_tourism_van,2015,manual,150,111630,diesel,VW
99,9500,8074954471,small_car,2010,manual,51,38037,gas,Toyota
100,25999,8073765034,sports_tourism_van,2015,manual,150,87943,diesel,VW
101,2800,8069215198,small_car,2016,manual,90,87186,diesel,SEAT
102,22990,8070445008,suv,2017,automatic,235,42432,diesel,Volvo
103,24350,8074057885,large_family_car,2009,manual,177,112000,diesel,BMW
104,12990,8071297979,small_car,2014,manual,90,83473,diesel,VW
